network,site_name,start_date,end_date,state,"station id",lat,lon,elev
snotel,"BRUNDAGE RESERVOIR",1986/10/01,2100/01/01,ID,370,45.04,-116.13,6250
snotel,"BUCK FLAT",1978/10/01,2100/01/01,UT,371,39.13,-111.44,9430
snotel,"BUCKSKIN LOWER",1979/10/01,2100/01/01,NV,373,41.75,-117.53,6915
snotel,"BUG LAKE",1978/10/01,2100/01/01,UT,374,41.68,-111.42,7950
snotel,"BURGESS JUNCTION",1979/10/01,2100/01/01,WY,377,44.79,-107.53,7880
snotel,"BURRO MOUNTAIN",1978/10/01,2100/01/01,CO,378,39.88,-107.6,9400
snotel,"BURROUGHS CREEK",1978/10/01,2100/01/01,WY,379,43.7,-109.67,8750
snotel,BUTTE,1979/10/01,2100/01/01,CO,380,38.89,-106.95,10160
snotel,"CALVERT CREEK",1978/10/01,2100/01/01,MT,381,45.88,-113.33,6430
snotel,"CAMAS CREEK DIVIDE",1991/10/01,2100/01/01,ID,382,43.27,-115.35,5710
snotel,"CAMP JACKSON",1985/10/01,2100/01/01,UT,383,37.81,-109.49,8968
snotel,CANYON,1980/10/01,2100/01/01,WY,384,44.72,-110.51,7870
snotel,"CARROT BASIN",1982/10/01,2100/01/01,MT,385,44.96,-111.29,9000
snotel,CASCADE,1978/10/01,2100/01/01,CO,386,37.65,-107.81,8880
snotel,"CASCADE #2",1990/10/01,2100/01/01,CO,387,37.66,-107.8,8920
snotel,"CASPER MTN.",1978/10/01,2100/01/01,WY,389,42.73,-106.32,7900
snotel,"CASTLE VALLEY",1979/10/01,2100/01/01,UT,390,37.66,-112.74,9580
snotel,"CHALK CREEK #1",1978/10/01,2100/01/01,UT,392,40.85,-111.05,8993
snotel,"CHALK CREEK #2",1978/10/01,2100/01/01,UT,393,40.89,-111.07,8158
snotel,CHAMITA,1978/10/01,2100/01/01,NM,394,36.96,-106.66,8400
snotel,CHEPETA,1979/10/01,2100/01/01,UT,396,40.77,-110.01,10592
snotel,"CLEAR CREEK #1",1978/10/01,2100/01/01,UT,399,39.87,-111.28,8908
snotel,"CLEAR CREEK #2",1978/10/01,2100/01/01,UT,400,39.89,-111.25,7659
snotel,"CLOUD PEAK RESERVOIR",1979/10/01,2100/01/01,WY,402,44.4,-107.06,9860
snotel,"CLOVER MEADOW",1978/10/01,2100/01/01,MT,403,45.02,-111.85,8600
snotel,"COLD SPRINGS",1983/10/01,2100/01/01,WY,405,43.28,-109.45,9630
snotel,"COLE CREEK",1978/10/01,2100/01/01,MT,407,45.19,-109.35,7850
snotel,COLUMBINE,1978/10/01,2100/01/01,CO,408,40.39,-106.6,9160
snotel,"COLUMBINE PASS",1985/10/01,2100/01/01,CO,409,38.42,-108.38,9400
snotel,COMBINATION,1978/10/01,2100/01/01,MT,410,46.47,-113.39,5600
snotel,"COOL CREEK",1983/10/01,2100/01/01,ID,411,46.76,-115.3,6280
snotel,"COPELAND LAKE",1979/10/01,2100/01/01,CO,412,40.21,-105.57,8600
snotel,"COPPER BOTTOM",1978/10/01,2100/01/01,MT,413,47.06,-112.6,5200
snotel,"COPPER CAMP",1978/10/01,2100/01/01,MT,414,47.08,-112.73,6950
snotel,"COPPER MOUNTAIN",1978/10/01,2100/01/01,CO,415,39.49,-106.17,10550
snotel,"CORONADO TRAIL",1978/10/01,2100/01/01,AZ,416,33.8,-109.15,8400
snotel,"CORRAL CANYON",1978/10/01,2100/01/01,NV,417,40.28,-115.53,8500
snotel,"COTTONWOOD CREEK",1982/10/01,2100/01/01,WY,419,42.65,-110.81,7670
snotel,"COZY COVE",1978/10/01,2100/01/01,ID,423,44.29,-115.66,5380
snotel,"CRAB CREEK",1979/10/01,2100/01/01,ID,424,44.44,-111.99,6860
snotel,"CRATER MEADOWS",1983/10/01,2100/01/01,ID,425,46.56,-115.29,5960
snotel,CROSHO,1985/10/01,2100/01/01,CO,426,40.17,-107.06,9100
snotel,"CRYSTAL LAKE",1978/10/01,2100/01/01,MT,427,46.79,-109.51,6050
snotel,"CULEBRA #2",1978/10/01,2100/01/01,CO,430,37.21,-105.2,10500
snotel,"CUMBRES TRESTLE",1979/10/01,2100/01/01,CO,431,37.02,-106.45,10040
snotel,"CURRANT CREEK",1978/10/01,2100/01/01,UT,432,40.36,-111.09,8000
snotel,"DALY CREEK",1979/10/01,2100/01/01,MT,433,46.18,-113.85,5780
snotel,DANIELS-STRAWBERRY,1978/10/01,2100/01/01,UT,435,40.29,-111.26,8037
snotel,"DARKHORSE LAKE",1979/10/01,2100/01/01,MT,436,45.17,-113.58,8600
snotel,"DEADMAN CREEK",1978/10/01,2100/01/01,MT,437,46.79,-110.68,6450
snotel,"DEADMAN HILL",1978/10/01,2100/01/01,CO,438,40.81,-105.77,10220
snotel,"DEADWOOD SUMMIT",1978/10/01,2100/01/01,ID,439,44.54,-115.56,6860
snotel,"DIAMOND PEAK",1983/10/01,2100/01/01,NV,443,39.56,-115.84,8033
snotel,"DILL'S CAMP",1978/10/01,2100/01/01,UT,444,39.05,-111.47,9182
snotel,"DISASTER PEAK",1979/10/01,2100/01/01,NV,445,41.97,-118.19,6500
snotel,DIVIDE,1978/10/01,2100/01/01,MT,448,44.79,-112.06,7800
snotel,"DIVIDE PEAK",1979/10/01,2100/01/01,WY,449,41.3,-107.15,8880
snotel,"DOLLARHIDE SUMMIT",1979/10/01,2100/01/01,ID,450,43.6,-114.67,8420
snotel,"DOME LAKE",1978/10/01,2100/01/01,WY,451,44.57,-107.3,8880
snotel,"DONKEY RESERVOIR",1985/10/01,2100/01/01,UT,452,38.21,-111.48,9800
snotel,"DORSEY BASIN",1978/10/01,2100/01/01,NV,453,40.89,-115.2,8100
snotel,"DRAW CREEK",1982/10/01,2100/01/01,NV,454,41.66,-115.32,7200
snotel,"DRY BREAD POND",1978/10/01,2100/01/01,UT,455,41.41,-111.54,8350
snotel,"DRY LAKE",1979/10/01,2100/01/01,CO,457,40.53,-106.78,8400
snotel,"DUPUYER CREEK",1982/10/01,2100/01/01,MT,458,48.06,-112.76,5750
snotel,"EAST RIM DIVIDE",1985/10/01,2100/01/01,WY,460,43.13,-110.2,7930
snotel,"EAST WILLOW CREEK",1985/10/01,2100/01/01,UT,461,39.31,-109.53,8301
snotel,"EL DIENTE PEAK",1985/10/01,2100/01/01,CO,465,37.79,-108.02,10000
snotel,"ELK BUTTE",1982/10/01,2100/01/01,ID,466,46.84,-116.12,5690
snotel,"ELK RIVER",1978/10/01,2100/01/01,CO,467,40.85,-106.97,8700
snotel,"ELKHART PARK G.S.",1979/10/01,2100/01/01,WY,468,43.01,-109.76,9400
snotel,"EMERY CREEK",1979/10/01,2100/01/01,MT,469,48.43,-113.94,4350
snotel,"EMIGRANT SUMMIT",1979/10/01,2100/01/01,ID,471,42.36,-111.56,7390
snotel,"EVENING STAR",1979/10/01,2100/01/01,WY,472,44.65,-109.78,9200
snotel,FARMINGTON,1978/10/01,2100/01/01,UT,474,40.97,-111.81,8000
snotel,"FARNSWORTH LAKE",1979/10/01,2100/01/01,UT,475,38.77,-111.68,9682
snotel,"FAWN CREEK",1979/10/01,2100/01/01,NV,476,41.82,-116.1,7000
snotel,"FISHER CREEK",1978/10/01,2100/01/01,MT,480,45.06,-109.94,9100
snotel,"FIVE POINTS LAKE",1979/10/01,2100/01/01,UT,481,40.72,-110.47,10940
snotel,"FLATTOP MTN.",1978/10/01,2100/01/01,MT,482,48.8,-113.86,6300
snotel,"FRANKLIN BASIN",1978/10/01,2100/01/01,ID,484,42.05,-111.6,8085
snotel,"FREMONT PASS",1979/10/01,2100/01/01,CO,485,39.38,-106.2,11400
snotel,"FRISCO DIVIDE",1978/10/01,2100/01/01,NM,486,33.74,-108.95,8000
snotel,"FROHNER MEADOW",1978/10/01,2100/01/01,MT,487,46.44,-112.19,6480
snotel,FRY,1978/10/01,2100/01/01,AZ,488,35.07,-111.84,7200
snotel,GALENA,1979/10/01,2100/01/01,ID,489,43.88,-114.67,7470
snotel,"GALENA SUMMIT",1978/10/01,2100/01/01,ID,490,43.87,-114.71,8780
snotel,"GALLEGOS PEAK",1979/10/01,2100/01/01,NM,491,36.19,-105.56,9800
snotel,"GARFIELD R.S.",1979/10/01,2100/01/01,ID,492,43.61,-113.93,6560
snotel,GIVEOUT,1979/10/01,2100/01/01,ID,493,42.41,-111.17,6930
snotel,"GOOSEBERRY R.S.",1978/10/01,2100/01/01,UT,495,38.8,-111.68,7950
snotel,"GRAHAM GUARD STA.",1978/10/01,2100/01/01,ID,496,43.95,-115.27,5690
snotel,"GRANITE CREEK",1987/10/01,2100/01/01,WY,497,43.34,-110.43,6770
snotel,"GRANITE PEAK",1979/10/01,2100/01/01,NV,498,41.67,-117.57,8543
snotel,"GRASSY LAKE",1978/10/01,2100/01/01,WY,499,44.13,-110.83,7265
snotel,"GRAVE CREEK",1978/10/01,2100/01/01,MT,500,48.91,-114.77,4300
snotel,"GRAVE SPRINGS",1991/10/01,2100/01/01,WY,501,43.47,-107.24,8550
snotel,"GREEN MOUNTAIN",1978/10/01,2100/01/01,NV,503,40.38,-115.53,8000
snotel,"GRIZZLY PEAK",1979/10/01,2100/01/01,CO,505,39.65,-105.87,11100
snotel,"GROS VENTRE SUMMIT",1978/10/01,2100/01/01,WY,506,43.39,-110.13,8750
snotel,"HAMS FORK",1985/10/01,2100/01/01,WY,509,42.15,-110.68,7840
snotel,"HAND CREEK",1978/10/01,2100/01/01,MT,510,48.31,-114.84,5035
snotel,"HANNAGAN MEADOWS",1978/10/01,2100/01/01,AZ,511,33.65,-109.31,9020
snotel,"HANSEN SAWMILL",1979/10/01,2100/01/01,WY,512,44.26,-106.98,8360
snotel,"HARRIS FLAT",1978/10/01,2100/01/01,UT,514,37.49,-112.58,7787
snotel,"HAWKINS LAKE",1986/10/01,2100/01/01,MT,516,48.97,-115.95,6450
snotel,"HAYDEN FORK",1978/10/01,2100/01/01,UT,517,40.8,-110.88,9212
snotel,HEBER,1978/10/01,2100/01/01,AZ,519,34.31,-110.75,7640
snotel,"HEMLOCK BUTTE",1983/10/01,2100/01/01,ID,520,46.48,-115.63,5810
snotel,HEWINTA,1984/10/01,2100/01/01,UT,521,40.95,-110.48,9519
snotel,"HICKERSON PARK",1984/10/01,2100/01/01,UT,522,40.91,-109.96,9145
snotel,"HILTS CREEK",1979/10/01,2100/01/01,ID,524,44.02,-113.47,8000
snotel,"HOBBS PARK",1978/10/01,2100/01/01,WY,525,42.87,-109.09,10100
snotel,HOLE-IN-MOUNTAIN,1979/10/01,2100/01/01,NV,527,40.94,-115.1,7900
snotel,HOLE-IN-ROCK,1984/10/01,2100/01/01,UT,528,40.92,-110.19,9150
snotel,"HOODOO BASIN",1979/10/01,2100/01/01,MT,530,46.98,-115.03,6050
snotel,"HOOSIER PASS",1979/10/01,2100/01/01,CO,531,39.36,-106.06,11400
snotel,HOPEWELL,1978/10/01,2100/01/01,NM,532,36.72,-106.26,10000
snotel,"HORSE RIDGE",1978/10/01,2100/01/01,UT,533,41.31,-111.45,8160
snotel,"HOWELL CANYON",1978/10/01,2100/01/01,ID,534,42.32,-113.62,7980
snotel,"HUMBOLDT GULCH",1978/10/01,2100/01/01,ID,535,47.53,-115.78,4250
snotel,HYNDMAN,1979/10/01,2100/01/01,ID,537,43.71,-114.16,7440
snotel,IDARADO,1979/10/01,2100/01/01,CO,538,37.93,-107.68,9800
snotel,"INDEPENDENCE PASS",1979/10/01,2100/01/01,CO,542,39.08,-106.61,10600
snotel,"INDIAN CANYON",1978/10/01,2100/01/01,UT,543,39.89,-110.75,9175
snotel,"INDIAN CREEK",1979/10/01,2100/01/01,WY,544,42.3,-110.68,9425
snotel,"ISLAND PARK",1979/10/01,2100/01/01,ID,546,44.42,-111.39,6290
snotel,IVANHOE,1991/10/01,2100/01/01,CO,547,39.29,-106.55,10400
snotel,"JACK CREEK UPPER",1978/10/01,2100/01/01,NV,548,41.55,-116.01,7250
snotel,"JACKS PEAK",1980/10/01,2100/01/01,NV,549,41.53,-116.01,8420
snotel,"JACKSON PEAK",1979/10/01,2100/01/01,ID,550,44.05,-115.44,7070
snotel,"JOE WRIGHT",1978/10/01,2100/01/01,CO,551,40.53,-105.89,10120
snotel,"KELLEY R.S.",1979/10/01,2100/01/01,WY,554,42.27,-110.81,8180
snotel,"KENDALL R.S.",1985/10/01,2100/01/01,WY,555,43.25,-110.02,7740
snotel,KILN,1979/10/01,2100/01/01,CO,556,39.32,-106.61,9600
snotel,"KIMBERLY MINE",1979/10/01,2100/01/01,UT,557,38.48,-112.39,9129
snotel,"KING'S CABIN",1978/10/01,2100/01/01,UT,559,40.72,-109.54,8724
snotel,KIRWIN,1979/10/01,2100/01/01,WY,560,43.86,-109.32,9550
snotel,KOLOB,1978/10/01,2100/01/01,UT,561,37.53,-113.05,9206
snotel,"KRAFT CREEK",1979/10/01,2100/01/01,MT,562,47.43,-113.78,4750
snotel,"LAKE ELDORA",1978/10/01,2100/01/01,CO,564,39.94,-105.59,9700
snotel,"LAKE IRENE",1978/10/01,2100/01/01,CO,565,40.41,-105.82,10700
snotel,"LAKEFORK #1",1978/10/01,2100/01/01,UT,566,40.6,-110.43,10415
snotel,"LAKEFORK BASIN",1978/10/01,2100/01/01,UT,567,40.74,-110.62,10966
snotel,"LAKEVIEW RIDGE",1978/10/01,2100/01/01,MT,568,44.59,-111.82,7400
snotel,"LAMANCE CREEK",1979/10/01,2100/01/01,NV,569,41.52,-117.63,6000
snotel,"LAMOILLE #3",1979/10/01,2100/01/01,NV,570,40.65,-115.38,7700
snotel,"LAPRELE CREEK",1978/10/01,2100/01/01,WY,571,42.44,-105.86,8375
snotel,"LASAL MOUNTAIN",1979/10/01,2100/01/01,UT,572,38.48,-109.27,9560
snotel,"LAUREL DRAW",1978/10/01,2100/01/01,NV,573,41.78,-116.03,6697
snotel,"LEMHI RIDGE",1978/10/01,2100/01/01,MT,576,44.99,-113.44,8100
snotel,"LEWIS LAKE DIVIDE",1978/10/01,2100/01/01,WY,577,44.21,-110.67,7850
snotel,"LICK CREEK",1978/10/01,2100/01/01,MT,578,45.5,-110.97,6860
snotel,"LILY LAKE",1979/10/01,2100/01/01,UT,579,40.86,-110.8,9156
snotel,"LILY POND",1979/10/01,2100/01/01,CO,580,37.38,-106.55,11000
snotel,LINDSAY,1990/10/01,2100/01/01,MT,581,47.21,-105.19,2871
snotel,"LITTLE BEAR",1978/10/01,2100/01/01,UT,582,41.41,-111.83,6544
snotel,"LITTLE GRASSY",1985/10/01,2100/01/01,UT,583,37.49,-113.85,6100
snotel,"LITTLE WARM",1978/10/01,2100/01/01,WY,585,43.5,-109.75,9370
snotel,"LIZARD HEAD PASS",1979/10/01,2100/01/01,CO,586,37.8,-107.92,10200
snotel,"LOLO PASS",1982/10/01,2100/01/01,ID,588,46.63,-114.58,5240
snotel,"LONE CONE",1979/10/01,2100/01/01,CO,589,37.89,-108.2,9600
snotel,"LONE MOUNTAIN",1991/10/01,2100/01/01,MT,590,45.27,-111.43,8880
snotel,"LONG FLAT",1978/10/01,2100/01/01,UT,592,37.51,-113.4,8000
snotel,"LONG VALLEY JCT",1985/10/01,2100/01/01,UT,593,37.49,-112.51,7464
snotel,LOOKOUT,1978/10/01,2100/01/01,ID,594,47.46,-115.71,5140
snotel,"LOOKOUT MOUNTAIN",1978/10/01,2100/01/01,NM,595,33.36,-107.83,8500
snotel,"LOOKOUT PEAK",1987/10/01,2100/01/01,UT,596,40.84,-111.71,8200
snotel,"LOOMIS PARK",1979/10/01,2100/01/01,WY,597,43.17,-110.14,8240
snotel,"LOST LAKE",1979/10/01,2100/01/01,ID,600,47.07,-115.96,6110
snotel,"LOST-WOOD DIVIDE",1979/10/01,2100/01/01,ID,601,43.82,-114.26,7900
snotel,"LOVELAND BASIN",1991/10/01,2100/01/01,CO,602,39.67,-105.9,11400
snotel,"LOWER TWIN",1979/10/01,2100/01/01,MT,603,45.51,-111.92,7900
snotel,"LUBRECHT FLUME",1978/10/01,2100/01/01,MT,604,46.88,-113.32,4680
snotel,"LYNX PASS",1979/10/01,2100/01/01,CO,607,40.08,-106.67,8880
snotel,"MADISON PLATEAU",1988/10/01,2100/01/01,MT,609,44.59,-111.12,7750
snotel,"MAGIC MOUNTAIN",1979/10/01,2100/01/01,ID,610,42.18,-114.29,6880
snotel,MAMMOTH-COTTONWOOD,1978/10/01,2100/01/01,UT,612,39.68,-111.32,8727
snotel,"MANY GLACIER",1978/10/01,2100/01/01,MT,613,48.8,-113.67,4900
snotel,"MARLETTE LAKE",1978/10/01,2100/01/01,NV,615,39.16,-119.9,7880
snotel,MARQUETTE,1979/10/01,2100/01/01,WY,616,44.3,-109.24,8760
snotel,"MAVERICK FORK",1978/10/01,2100/01/01,AZ,617,33.92,-109.46,9200
snotel,"MC CLURE PASS",1979/10/01,2100/01/01,CO,618,39.13,-107.29,9500
snotel,"MEADOW LAKE",1979/10/01,2100/01/01,ID,620,44.44,-113.32,9150
snotel,"MERCHANT VALLEY",1979/10/01,2100/01/01,UT,621,38.3,-112.44,8703
snotel,"MESA LAKES",1985/10/01,2100/01/01,CO,622,39.06,-108.06,10000
snotel,"MICA CREEK",1989/10/01,2100/01/01,ID,623,47.15,-116.27,4510
snotel,"MIDDLE CREEK",1979/10/01,2100/01/01,CO,624,37.62,-107.03,11250
snotel,"MIDDLE POWDER",1978/10/01,2100/01/01,WY,625,43.63,-107.18,7760
snotel,"MIDWAY VALLEY",1979/10/01,2100/01/01,UT,626,37.57,-112.84,9800
snotel,"MILL CREEK SUMMIT",1978/10/01,2100/01/01,ID,627,44.47,-114.49,8800
snotel,"MILL-D NORTH",1987/10/01,2100/01/01,UT,628,40.66,-111.64,8967
snotel,"MINERAL CREEK",1978/10/01,2100/01/01,CO,629,37.85,-107.73,10040
snotel,"MINING FORK",1987/10/01,2100/01/01,UT,631,40.49,-112.61,8221
snotel,"MOLAS LAKE",1985/10/01,2100/01/01,CO,632,37.75,-107.69,10500
snotel,"MONTE CRISTO",1978/10/01,2100/01/01,UT,634,41.47,-111.5,8960
snotel,"MONUMENT PEAK",1979/10/01,2100/01/01,MT,635,45.22,-110.24,8850
snotel,MOONSHINE,1979/10/01,2100/01/01,ID,636,44.41,-113.4,7440
snotel,"MORES CREEK SUMMIT",1978/10/01,2100/01/01,ID,637,43.93,-115.67,6100
snotel,"MOOSE CREEK",1979/10/01,2100/01/01,ID,638,45.67,-113.95,6200
snotel,"MORGAN CREEK",1979/10/01,2100/01/01,ID,639,44.84,-114.27,7600
snotel,"MORMON MOUNTAIN",1978/10/01,2100/01/01,AZ,640,34.94,-111.52,7500
snotel,"MOSBY MTN.",1978/10/01,2100/01/01,UT,643,40.61,-109.89,9510
snotel,"MOSQUITO RIDGE",1978/10/01,2100/01/01,ID,645,48.06,-116.23,5200
snotel,"MOSS PEAK",1984/10/01,2100/01/01,MT,646,47.68,-113.96,6780
snotel,"MOUNT LOCKHART",1978/10/01,2100/01/01,MT,649,47.92,-112.82,6400
snotel,"MOUNTAIN MEADOWS",1979/10/01,2100/01/01,ID,650,45.7,-115.23,6360
snotel,"MT ROSE SKI AREA",1979/10/01,2100/01/01,NV,652,39.32,-119.89,8801
snotel,"MUD FLAT",1979/10/01,2100/01/01,ID,654,42.6,-116.56,5730
snotel,"MULE CREEK",1979/10/01,2100/01/01,MT,656,45.41,-112.96,8300
snotel,"N FK ELK CREEK",1978/10/01,2100/01/01,MT,657,46.87,-113.28,6250
snotel,"NAST LAKE",1985/10/01,2100/01/01,CO,658,39.3,-106.61,8700
snotel,"NEW FORK LAKE",1985/10/01,2100/01/01,WY,661,43.11,-109.95,8340
snotel,"NEZ PERCE CAMP",1979/10/01,2100/01/01,MT,662,45.73,-114.48,5650
snotel,NIWOT,1980/10/01,2100/01/01,CO,663,40.04,-105.54,9910
snotel,"NOISY BASIN",1978/10/01,2100/01/01,MT,664,48.16,-113.95,6040
snotel,"NORTH COSTILLA",1978/10/01,2100/01/01,NM,665,36.99,-105.26,10600
snotel,"NORTH FORK JOCKO",1988/10/01,2100/01/01,MT,667,47.27,-113.76,6330
snotel,"NORTH FRENCH CREEK",1978/10/01,2100/01/01,WY,668,41.33,-106.38,10130
snotel,"NORTH LOST TRAIL",1984/10/01,2100/01/01,CO,669,39.08,-107.14,9200
snotel,"NORTHEAST ENTRANCE",1978/10/01,2100/01/01,MT,670,45.01,-110.01,7350
snotel,"OLD BATTLE",1978/10/01,2100/01/01,WY,673,41.15,-106.97,10000
snotel,"ORCHARD RANGE SITE",1988/10/01,2100/01/01,ID,674,43.32,-116,3200
snotel,"OVERLAND RES.",1988/10/01,2100/01/01,CO,675,39.09,-107.63,9840
snotel,"OWL CREEK",1979/10/01,2100/01/01,WY,676,43.66,-109.01,8975
snotel,"OXFORD SPRING",1979/10/01,2100/01/01,ID,677,42.26,-112.13,6740
snotel,"PARK CONE",1979/10/01,2100/01/01,CO,680,38.82,-106.59,9600
snotel,"PARK RESERVOIR",1978/10/01,2100/01/01,CO,682,39.05,-107.87,9960
snotel,"PARKER PEAK",1979/10/01,2100/01/01,WY,683,44.73,-109.91,9400
snotel,"PARLEY'S SUMMIT",1978/10/01,2100/01/01,UT,684,40.76,-111.63,7500
snotel,"PAYSON R.S.",1979/10/01,2100/01/01,UT,686,39.93,-111.63,8066
snotel,"PHANTOM VALLEY",1980/10/01,2100/01/01,CO,688,40.4,-105.85,9030
snotel,"PHILLIPS BENCH",1978/10/01,2100/01/01,WY,689,43.52,-110.91,8200
snotel,"PICKFOOT CREEK",1978/10/01,2100/01/01,MT,690,46.58,-111.27,6650
snotel,"PICKLE KEG",1978/10/01,2100/01/01,UT,691,39.01,-111.58,9600
snotel,"PIKE CREEK",1979/10/01,2100/01/01,MT,693,48.3,-113.33,5930
snotel,"PINE CREEK",1984/10/01,2100/01/01,UT,694,38.97,-112.25,8790
snotel,"PINE CREEK PASS",1988/10/01,2100/01/01,ID,695,43.57,-111.21,6720
snotel,"PLACER BASIN",1979/10/01,2100/01/01,MT,696,45.42,-110.09,8830
snotel,"POLE CREEK R.S.",1979/10/01,2100/01/01,NV,698,41.87,-115.25,8330
snotel,PORCUPINE,1978/10/01,2100/01/01,MT,700,46.11,-110.47,6500
snotel,"PORPHYRY CREEK",1978/10/01,2100/01/01,CO,701,38.49,-106.34,10760
snotel,"POWDER RIVER PASS",1978/10/01,2100/01/01,WY,703,44.16,-107.13,9480
snotel,PRAIRIE,1979/10/01,2100/01/01,ID,704,43.51,-115.57,4800
snotel,PROMONTORY,1979/10/01,2100/01/01,AZ,705,34.37,-111.01,7930
snotel,QUEMAZON,1979/10/01,2100/01/01,NM,708,35.92,-106.39,9500
